Abdallah          Johnetta          919-225-9345   johnetta_abdallah@aol.com
Vinning           Stephaine         415-767-6596   stephaine@cox.net
Vizarro           Lashon            916-741-7884   lashon@aol.com
Vocelka           Francine          505-977-3911   francine_vocelka@vocelka.com
Vonasek           Kattie            216-923-3715   kattie@vonasek.org
Walthall          Hubert            330-903-1345   hubert@walthall.org
Wardrip           Tammara           650-803-1936   twardrip@cox.net
Waycott           Kanisha           323-453-2780   kanisha_waycott@yahoo.com
Waymire           Norah             415-306-7897   norah.waymire@gmail.com
Weglarz           Lonny             801-293-9853   lonny_weglarz@gmail.com
Weight            Penney            907-797-9628   penney_weight@aol.com
Weirather         Daren             414-959-2540   dweirather@aol.com
Wenner            Tonette           516-968-6051   twenner@aol.com
Wenzinger         Dick              310-510-9713   dick@yahoo.com
Westerbeck        Stevie            949-867-4077   stevie.westerbeck@yahoo.com
Whobrey           Yuki              313-288-7937   yuki_whobrey@aol.com
Wide              Paris             404-505-4445   paris@hotmail.com
Wieser            Sage              605-414-2147   sage_wieser@cox.net
Wiklund           Melissa           419-939-3613   melissa@cox.net
Wildfong          Cassi             847-633-3216   cassi.wildfong@aol.com
Witten            Gertude           513-977-7043   gertude.witten@gmail.com
Wolfgramm         Irma              973-545-7355   irma.wolfgramm@hotmail.com
Wolny             Lavonna           703-483-1970   lavonna.wolny@hotmail.com
Worlds            Lorrine           813-769-2939   lorrine.worlds@worlds.com
Wrinkles          Nana              914-855-2115   nana@aol.com
Yaw               Audry             813-797-4816   audry.yaw@yaw.org
Yglesias          Maurine           414-748-1374   maurine_yglesias@yglesias.com
Yori              Shawnda           407-538-5106   shawnda.yori@yahoo.com
Yum               Dierdre           215-325-3042   dyum@yahoo.com
Zagen             Serina            260-273-3725   szagen@aol.com
Zane              Sheridan          951-645-3605   sheridan.zane@zane.com
Zepp              Vincenza          619-603-5125   vzepp@gmail.com
Zurcher           Jerry             321-518-5938   jzurcher@zurcher.org


Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: T

Please enter last name tab letter: w

Walthall          Hubert            330-903-1345   hubert@walthall.org
Wardrip           Tammara           650-803-1936   twardrip@cox.net
Waycott           Kanisha           323-453-2780   kanisha_waycott@yahoo.com
Waymire           Norah             415-306-7897   norah.waymire@gmail.com
Weglarz           Lonny             801-293-9853   lonny_weglarz@gmail.com
Weight            Penney            907-797-9628   penney_weight@aol.com
Weirather         Daren             414-959-2540   dweirather@aol.com
Wenner            Tonette           516-968-6051   twenner@aol.com
Wenzinger         Dick              310-510-9713   dick@yahoo.com
Westerbeck        Stevie            949-867-4077   stevie.westerbeck@yahoo.com
Whobrey           Yuki              313-288-7937   yuki_whobrey@aol.com
Wide              Paris             404-505-4445   paris@hotmail.com
Wieser            Sage              605-414-2147   sage_wieser@cox.net
Wiklund           Melissa           419-939-3613   melissa@cox.net
Wildfong          Cassi             847-633-3216   cassi.wildfong@aol.com
Witten            Gertude           513-977-7043   gertude.witten@gmail.com
Wolfgramm         Irma              973-545-7355   irma.wolfgramm@hotmail.com
Wolny             Lavonna           703-483-1970   lavonna.wolny@hotmail.com
Worlds            Lorrine           813-769-2939   lorrine.worlds@worlds.com
Wrinkles          Nana              914-855-2115   nana@aol.com

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: t

Please enter last name tab letter: u

Upthegrove        Raul              619-509-5282   rupthegrove@yahoo.com
Uyetake           Sabra             803-925-5213   sabra@uyetake.org

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: c

Please select one of the following: 

 c  Condensed output information
 f  Full output information

Option: f

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: t

Please enter last name tab letter: u

Name:    Raul Upthegrove
Address: 4 E Colonial Dr, La Mesa, CA 91942  (San Diego County)
Phone:   619-509-5282 (primary)  619-666-4765
email:   rupthegrove@yahoo.com
web:     http://www.neeleygregorywesq.com

Name:    Sabra Uyetake
Address: 98839 Hawthorne Blvd #6101, Columbia, SC 29201  (Richland County)
Phone:   803-925-5213 (primary)  803-681-3678
email:   sabra@uyetake.org
web:     http://www.lowylimousineservice.com


Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: C

Please select one of the following: 

 c  Condensed output information
 f  Full output information

Option: C

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: i

Please enter last name: wolfgramm
Please enter first name: irma

Wolfgramm         Irma              973-545-7355   irma.wolfgramm@hotmail.com

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: i

Please enter last name: doo
Please enter first name: scooby

Contact not found

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: c

Please select one of the following: 

 c  Condensed output information
 f  Full output information

Option: f

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: s

Please enter two-letter state abbreviation: nh

Name:    Dalene Riden
Address: 66552 Malone Rd, Plaistow, NH 03865  (Rockingham County)
Phone:   603-315-6839 (primary)  603-745-7497
email:   dalene.riden@aol.com
web:     http://www.silvermanplanetarium.com


Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: s

Please enter two-letter state abbreviation: wy

Name:    Lauran Burnard
Address: 66697 Park Pl #3224, Riverton, WY 82501  (Fremont County)
Phone:   307-342-7795 (primary)  307-453-7589
email:   lburnard@burnard.com
web:     http://www.professionalsunlimited.com

Name:    Mona Delasancha
Address: 38773 Gravois Ave, Cheyenne, WY 82001  (Laramie County)
Phone:   307-403-1488 (primary)  307-816-7115
email:   mdelasancha@hotmail.com
web:     http://www.signall.com

Name:    Natalie Fern
Address: 7140 University Ave, Rock Springs, WY 82901  (Sweetwater County)
Phone:   307-704-8713 (primary)  307-279-3793
email:   natalie.fern@hotmail.com
web:     http://www.kellycharlesgesq.com


Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: t

Please enter last name tab letter: x

No contacts found

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: s

Please enter two-letter state abbreviation: xx

No contacts found

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: k

Invalid option entered

Please select one of the following: 

 c  Change output format
 i  Search for individual
 t  Print tab
 s  Look up by state
 q  Quit

Option: q
